movie_id,movie_title,year_released,imdb_id,tmdb_id,genres,production_countries,spoken_languages,popularity,overview,runtime,vote_average,vote_count,release_date,original_language
dont-worry-darling,Don't Worry Darling,2022,tt10731256,619730,"['Mystery', 'Thriller', 'Drama']",['United States of America'],['English'],264.065,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. But when cracks in their idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can’t help questioning exactly what they’re doing in Victory, and why.",123,6.877,313,2022-09-21,en
blonde-2022,Blonde,2022,tt1655389,301502,['Drama'],['United States of America'],"['English', 'Italiano']",414.578,"From her volatile childhood as Norma Jeane, through her rise to stardom and romantic entanglements, this reimagined fictional portrait of Hollywood legend Marilyn Monroe blurs the lines of fact and fiction to explore the widening split between her public and private selves.",167,6.668,310,2022-09-16,en
do-revenge,Do Revenge,2022,tt13327038,762968,['Comedy'],['United States of America'],"['English', 'Polski']",504.909,A dethroned queen bee at a posh private high school strikes a secret deal with an unassuming new student to enact revenge on one another’s enemies.,118,6.722,324,2022-09-14,en
bodies-bodies-bodies,Bodies Bodies Bodies,2022,tt8110652,520023,"['Comedy', 'Mystery', 'Thriller']",['United States of America'],['English'],62.75,"In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",94,6.489,135,2022-08-05,en
pearl-2022,Pearl,2022,tt18925334,949423,"['Horror', 'Thriller', 'Drama']",['United States of America'],"['English', 'Deutsch']",50.281,"Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations and repressions collide.",102,6.974,19,2022-09-16,en
avatar,Avatar,2009,tt0499549,19995,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['United States of America', 'United Kingdom']","['English', 'Español']",1585.944,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,7.522,26231,2009-12-10,en
barbarian-2022,Barbarian,2022,tt15791034,913290,"['Horror', 'Mystery', 'Thriller']",['United States of America'],['English'],168.733,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway, but soon discovers that there is much more to be afraid of in the house than the other guest.",102,7.203,59,2022-09-08,en
x-2022,X,2022,tt13560574,760104,"['Horror', 'Mystery', 'Thriller']",['United States of America'],['English'],770.107,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",106,6.75,1016,2022-03-17,en
nope,Nope,2022,tt10954984,762504,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']","['Japan', 'United States of America']",['English'],1035.668,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",130,7.028,1646,2022-07-20,en
everything-everywhere-all-at-once,Everything Everywhere All at Once,2022,tt6710474,545611,"['Action', 'Adventure', 'Science Fiction']",['United States of America'],"['广州话 / 廣州話', '普通话', 'English']",146.166,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",140,8.164,1837,2022-03-24,en
smile-2022,Smile,2022,tt15474916,882598,"['Horror', 'Mystery', 'Thriller']",['United States of America'],['English'],814.947,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",115,6.54,50,2022-09-23,en
bullet-train,Bullet Train,2022,tt12593682,718930,"['Action', 'Comedy', 'Thriller']",['United States of America'],"['日本語', 'English', 'Pусский', 'Español']",7949.491,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",127,7.496,1251,2022-07-03,en
