movie_id,movie_title,year_released,imdb_id,tmdb_id,genres,production_countries,spoken_languages,popularity,overview,runtime,vote_average,vote_count,release_date,original_language
carlitos-way,Carlito's Way,1993,tt0106519,6075,"['Crime', 'Drama', 'Romance', 'Thriller']",['United States of America'],"['English', 'Español']",25.246,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.",144,7.8,2911,1993-11-10,en
fair-play-2023,Fair Play,2023,tt16304446,910571,['Thriller'],['United States of America'],"['English', 'Pусский', 'Français']",80.141,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel not only their recent engagement but their lives.",113,6.448,320,2023-09-28,en
barbie,Barbie,2023,tt1517268,346698,"['Comedy', 'Adventure', 'Fantasy']","['United Kingdom', 'United States of America']",['English'],464.685,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",114,7.162,6533,2023-07-19,en
a-star-is-born-2018,A Star Is Born,2018,tt1517451,332562,"['Music', 'Drama', 'Romance']",['United States of America'],['English'],39.675,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",136,7.501,11194,2018-10-03,en
memories-of-murder,Memories of Murder,2003,tt0353969,11423,"['Crime', 'Drama', 'Thriller']",['South Korea'],"['한국어/조선말', 'English']",43.356,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",131,8.1,3428,2003-05-02,ko
the-godfather-part-ii,The Godfather: Part II,1974,tt0071562,240,"['Drama', 'Crime']",['United States of America'],"['English', 'Italiano', 'Latin', 'Español']",65.237,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",202,8.589,11572,1974-12-20,en
the-godfather,The Godfather,1972,tt0068646,238,"['Drama', 'Crime']",['United States of America'],"['English', 'Italiano', 'Latin']",142.126,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",175,8.708,19197,1972-03-14,en
psycho,Psycho,1960,tt0054215,539,"['Horror', 'Thriller', 'Mystery']",['United States of America'],['English'],40.679,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",109,8.4,9470,1960-06-22,en
rear-window,Rear Window,1954,tt0047396,567,"['Thriller', 'Mystery']",['United States of America'],['English'],35.267,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,112,8.357,6026,1954-08-01,en
heat-1995,Heat,1995,tt0113277,949,"['Action', 'Crime', 'Drama']",['United States of America'],"['English', 'Español']",55.969,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,170,7.911,6719,1995-12-15,en
